mot,definition
Miloaka," (loaka) mt. s.: Misy loaka na lavaka. • Maninteraka. -  F.-p.: Miloaka alina: (miasa na milalao) mandritra ny alina. J Miloa-bava: misokabava mba hiteny."
Miloatra," (loatra) mt. s. (miloara): Mivoaka betsaka avy ao anaty zavatra toa lalina aty: Izany no vetsovetso miloatra avy aa anatin'ny fonay."
Milobaloba," (lobaloba) p. t.: Malalaka ka hita misy rivotra mitakobana amin'ny elanelan'ny akanjo sy ny vatana."
Milobolobo," (lobolobo)  Mifanety, mifanizina (zavamaniry)."
Milobona," (lobona)  Mandrantsana betsaka sady lehibe."
Milodilody," (lodilody) mt. s.: Kaodikaody mandositra o10-na, matahotra na menamenatra mifanerasera amin'ny maro."
Milofika," (lofika) mt. s. (milofiha): Miondrika, mile titra ny loha, tsy miarina tsara amin'ny toerana misy ny te-na: Nilofika ilay voninkazo fa tapaka ny tahony. 1 h.o.: Maty: Mbola vao herotrerony dia nilofika ilay zanak' olpna."
Milofo," (lofo) mt. s. (milofosa): Miezaka amin-kiry, mampiasa ny hery rehetra azo a-tao, mikely aina: Nilofo mafy tamin'ny fianarana izy ka tsy mahagaga raha afa-panadinana.   Mikofo, mifofotra, mikezaka, miezaka, milozoka, mikokotra (mikikitra), mikoko-maty, mikely aina, mimaso, mikiry, mikiribiby, manao salaka fohy rambo, manao sakafo ambany foitra, mandany mondron-kery, tsy mitandro hasasarana, tsy mitarain-tanana ompaka, tsy mikely soroka, mivaky tratra, fola-damosina, mandany ron-doha, mimokitra, mimokimoky, miokitra, mikoremby, misikim-ponitra, mialakaforo, mialakabontana, miady fo, tsy miroa fo, tsy manamohamo, tsy mikoso-maso, may volon' orona, may volon-tratra, miongo-bolo, miady fo aman' aina, manao anjolofo, manao kely andilana, milofika, tsy misatry fanahy, tsy mandala aina, mikaozatra, mitozo, manao valangitrika, manao ' amboa ditsika, manao lazo be, manao ain-tsy ho zavatra, manao ampinga tratra, manao vy very ny aina, tsy manary karama, tsy miala vehana, manao botraika, manao an-ditra, manao an'aina, tsy mandry andro tsy mandry alina, miantotomaty, sady mifofotra no mively vy."
Milofo," (lofo) mt, s.: Manana omby hovonoina hatao loto."
Miloha," (loha) mt. s.: Miendrika lohan-javatra toy izao na toy izao: Miloha lefona ny tahon'ny saina."
Milohaloha," (lohaloha) mt. s.: Mihambo ho lohany, miseho ho mandidy ny hafa."
Miloka," (loka) mt. s. (milokà): Milalao vola (misy zavatra iadiana: karatra, kodiakely, hazakaza-tsoavaly... ka ma-nome vola an'izay maharesy izay resy na maty loka). -  F.-p.: Miloka lefona: miady, mifamely amin'ny lefona."
Miloko," (loko) mt. s.: Misy loko: Miloko mena itsy trano itsy."
Miloloha," (loloha) mt, p. (milolohava) :Mitondra (zavatra) eo ambony loha: Hitako niloloha sobiky nankany antsaha any izy. • Manampy, manohana havana sahirankirana: Iza indray no hiloioha ireo havam-badinao sahirana ireo raha tsy ianao? • Misahana zavatra betsaka maro karazana: Niloloha raharaha betsaka loatra izy. -  F.-p.: Miloloha lamba: teny enti-milaza ny mpamosavy. / Miloloha rano roa siny: misahana na manao raharaha maro miaraka. J Miloloha tsy mihalana: manao kitoatoa toy ny manomboka raharaha nefa tsy maminavina akory ny vola holanina amin'izany. * Ohab.: Miloloha lanitra ka lena: enti-milaza fa ny olombelona dia mety diso na mety ho voan-javatra, toy ny aretina, ny voina... (matetika io fitenenana io dia ampiarahina amin'ny hoe: ""Man-dia tany ka lavo..."")."
Milomano," (iomano) mt. s. (milomanosa): Misosa amim-pahaizana ao anaty rano: Mianatra miiomano Ibalita. ? h. o.: Manaxam-po amy, finaritra, miadana: Milomano amin'ny hareny izy. -  F. p.: Milomano mitsitsinjavatra: fampisehoana fahaizana milomano ka ny tanana iray mivoy ny rano, ny iray mitondra zavatra arangaranga eny ambony rano. J Milomano tsy mikobaka: enti-milaza fanaovan-javatra mangingina, tsy mitabataba, tsy avoaka ho fantatry ny olona."
Milomay," (lomay) mt. s.: Mandeha haingana, mihazakazaka."
Milomodomotra," (lomodomotra) mt. s.: Miseho sosotsosotra, kitokitoina."
Milomy," (iomy) mt. s.: Miray (fiteny amin'ny biby)."
Milona," (lona) mt. s. (miloma): Mijanona maharitra ao anaty rano: Raha tiana hadio tsara ny lambanao, avelao hilona ao anaty rano vao sasana. ? Mandro amin'ny rano voalaza ho manan-kasina hahasitrana: Lasa nilona amin'ny ranomafana any Antsirabe izy, • Mijanona ela loatra: Nilona ela loatra tao an-trano ny entam-barotra ka saiky simba tao daholo."
Milondolondo," (londolondo)  Sorisorena, mavesabesatra toa ta hatory ny maso, tsy falifaly fa kamo. ? h.o.: (andro) Mavesabesatra toa mampatory."
Milonika," (lonika)  Osaosa sy ketraketraka; mavesabesatra sy mitanondrika toa tsy mahazaka loba."
Milonjehitra," (lonjehitra) mt. s.: Mitanondrika ny loha no-ho ny havesatry ny zavatra manindry, milofika noho ny havesatry ny voa entina: Milonjehitry ny voany ity paiso ity. ? h.o.: Tsy mijoro mahitsy tsara fa somary man-dry ila."
Milonjitra," (lonjitra)  Trotraka, osa."
Milonjo," (lonjo) mt. p. (milan-fou): Mitondra enta-mavesatra samy irery. • h.o.: Mi-tondra ny mafy tsy misy mpanampy: Rakoto irery no nilonjo ny fahoriana nidona tam in y."
Milopilopy," (lopilopy) mt. s. (milopilopia): Mipipy maso, mipendrampendrana: Milopilopy izany hazavana izany ka mamparary maso. ? Tsy mazava tsara: Milopilopy ny jiro (mitsilopilopy no fiteny matetika kokoa)."
Milotaka," (lotaka)  Malemy, mifotetaka."
Milotika," (lotika)  Malemy boda: Milotika loatra ity vary ity. ? Maloto, misotisoty, misotitika: Hatramin'ny ma-raina ka hatramin'ny hariva, milotika foana ny tarehin' io zaza io, 1 Sosotra mafy na tezitra any am-po: Milotika ny atin-dRamatoa iny nahita azy,"
Milotsaka," (lotsaka)  Motsika ao anaty rano."
Milozoka," (lozoka) mt, s. (milozoha): Milofo amin'izay a-tao, miezaka amin'ny fianarana: Milozoka amin 'ny asany tokoa izy ka mendripiderana.   Jer. Milofo."
Milozotra," (lozotra) mt. s.: Mikikitra amin'ny asa iray nefa tsisy vokany."
Mima," (ma) mt. s.: Mitrena."
Mimalo," (malo) mt, s.: Matahotxa ka mihemotra, tsy sahy mandroso na manao."
Mimamà," (mamà) mt. s.: Mitrentrena, mitrena matetika. * Ohab.: Ataovy hanin'omby sady mimamà no miraoka, fa ny alahelo tsy efan-jo retra: tsy tokony hitanondrika foana amin'ny alahelo, fa na malahelo aza, tsy azo avala ny asa fitadiavam-pivelomana."
Mimamamama," (mamamama) mt. s.: Enti-milaza zavatra mamoaka feo mafy, mifofofofo, mimaona: Misy matahotra, fa izaho kosa faly amin'ny fandrenesana izany riaka mimamamama izany."
Mimamo," (mamo) mt. s. (mimamoa): Misotro be loatra ka tonga mamo: Nimamo tany indray izay Rakoto."
Mimaola," (maola) mt. s.: Mipelipelika, mijefijefy."
Mimaolamaola," (maolamaola) mt. s. na  Mihetsiketsika mijefijefy, mipelipelika: Olona efa dimampolo taona iny ka mbola mimaolamaola ihany."
Mimaona," (maona) mt. s.: Miriotra mafy, mandeha sady haingana no mafy: Nimaona niankandrefana any izy."
Mimasimasy," (masimasy) mt. s.: Midarondarona, midonanaka.l Misalasala be ihany."
Mimaso," (maso) mt. s. (mimasoa): Mikezaka, mikely aina.   Jer. Milofo."
Mimeda," (meda) mt. s.: Miadam-panao zavatra, mitaredretra."
Mimenomenona," (menomenona) mt. s. (mimenomenona): Mitaraindraina be noho ny tsy fahafaliana: Nimenomenona Prato fa niangatra, ho-no, ny mpampianatra.   Mikarnenona, mimoimoy, mikafara, mimonomonona, mimonjomonjo, mikahonkahona, mikoinkoina, mikobabaka, mingonongonona, mikodradraka, mikaikaika, mitaraina, mikonaina, manao lemozy, mentsomentsona."
Mimeo," (meo) mt, s.: Manao feon-tsaka."
Mimintsimintsy," (mintsimintsy) mt, s.: Mifaly."
Mimiramirana," (miramirana) mt. s.: Mifalifaly, miravoravo, misariadriaka."
Mimoimoy," (moimoy) mt. s. (mimoimoiza): Mimonomonon-kasosorana."
Mimokimoky," (mokimoky) mt. s. (mimokimokia): Miezaka mafy, mikely aina, vonombonona sy marisika fatratra, mikikitra, mimokitra."
Mimokitra," (mokitra) mt. s. (mimokira): Miezaka mafy, mikely aina, mikikitra."
Mimolotra," (molotra) mt. s.: Manamboamboatra ny molotra toy ny zaza te hitomany, ohatra ny midongy."
Mimonjomonjo," (monjomonjo) mt. s. (mimonjomonjoa): Mingonongonona noho ny tsy fahafaliana na hatezerana, tsy mahaloa-peo."
Mimonjotra," (monjotra) mt. s. (mimonjora): Midongy, tsy faly."
Mimontotra," (montotra) mt. s. (mimontora): Mandondona; tezitra."
Mimontsona," (montsona) mt s. (mimontsona): Manabontsina takolaka, manao feno vava."
Mimozy," Mioziozy (mozy) mt. s.: Mitavozavoza, mivoravora."
Mimpirina," (ampirina, mpirina) mt. s.: Milamina, milahatra, voapetraka tsara amin'ny toerany avy ny zavatra rehetra: Rehefa mimpirina tsara ny trano uao mahazo mande-ha ianao."
Mimpody," (mpody) mt. s.: Miverina amin'ny toerana nielana."
Minahonahona," (nahonahona) mt. s.: Mitavozavoza, mivoravora, mitahontahona."
Minaikanaika," (naikanaika) mt. s. (minaikanaikà): Miteny na manao zavatra amim-panaovana mosalahy, amin-kasahiana be loatra, amim-pihamboana sy fireharehana: Ninaikanaika loatra izy ka tsy mahagaga raha uoa."
Minainaina," (nainaina) mt. s.: Mimenomenona fatratra, mitaraindraina sy midradradradra."
Minamonamona," (namonamona) mt. s.: Asa fanaon'ny ankizy milalao izay sady mitsako no mihirahira."
Minananana," (nananana) mt. s.: Mikiakiaka, mihoakoaka, midradradradra.   Miantsoantso,mikiakiaka, mihoakoaka, mihohahoha, midradradradra."
Minantsanantsana," (nantsanantsana) mt. s.: Miteny somary mikiaka amim-pahatezerana, maneno mikarantsandrantsana: Ninantsanantsana ny bingona ka taitra daholo ny iray tanna."
Minantsonantsona," (nantsonantsona) mt. s.: Mibedibedy lavareny, mipentsompentsona."
Minaonaona," (naonaona) mt. s,: Mitaraindraina, mitomany valala."
Mindrana," (indrana) mt. s. (mindrama): Mangataka zavatr' olona mba hanaovana na hampiasaina vetivety fa haverina rehefa avy eo: Mindrana boky amin'ny namana. ~ Miangavy olona hanao raharahan'ny tena: Nindrana ahy izy mba handatsaka ny zanany. -  F.-p,: Tsy manati-mindrana: tsy mamerina ny zavatra nindramina. / Vorona mindram-bobo: fisehoana tsy ara-ka ny tena toetran'ny tena fa amboamboarina fotsiny hanodoka an'izay mahita ny tena. / Mindran-tso fina: entimilaza olona tsy manche tsara loatra ka manontany ny hafa, lalodalovana tsy mahare tsara ka izay lazain'ny olona no mba lazainy koa. * Ohab.: Mindram-pangady lohataona ka maniraka ny tompony hiasa: ny findraman-javatra amin'ny fotoana fampiasan'ny olona azy dia tahaka ny manome hevitra ny tompony hampiasa azy na dia tsy nivonona ny amin' izany aza izy. / Ibaikamo mindram-pangady, ka ""ara mahita ante aho"": ilazana olona tsy te hiasa ka mirary ny tsy hahitany angady hiasany, na olona manao alasafay fotsiny ka toa vos-tory hanao zavatra nefa tsy araka ny fony akory."
Mindro," ft.: Fitaninana afo mba hafana. Mamindro, famindro, mpamindro / amindroana, famindroana."
Minehaneha," (nehaneha) mt s.: Manao fiteny na fihetsika feno rehareha."
Minemonemona," (nemonemona) mt s.: Mihaminkamina somary mievotrevotra kely eny ambony soavaly na filanlama."
Minendonendo," (nendonendo) p. t.: Mangirangirana, mandina, mihilontrilona: Minendonendo ery ny loha solan'i dadabe."
Minenonenona," (nenonenona) mt. s.: Mimenomenona."
Mineraly," (fr. minéral)  Zavatra ao anatin'ny tany, toy ny vy na ny vato..."
Mingadona," (ngadona) mt, s. (mingadôna): Enti-milaza ny fanoto midoboka mafy relie-fa mitoto vary: Injay misy fanoto mingadona any ho any. ? Tonga: Vao ningadona tao am-baravarana izy, dia nirotsaka ny orana tany ioelany."
Mingenongehona," (ngenongenona) mt, s. (mingenongendna): Mimenomenona, manao teny an'orona noho ny tsy fahafaliana, mingonongonona."
Mingitrika," (ngitrika) mt. p. (f. s. b,): Tsy tonga mianatra, tsy tonga miasa: Ningitrika indray Isambilo androany."
Mingodona," Mingodongodona (godona) mt. s. (mingaddna): Mirohondrohona, maneno, manao tabataba mafy rehefa mamindra: Aza mingodongodona fa manaitra zaza."
Mingodongodona," Jer. Mingodona."
Mingonona," (gonona) mt. s. (mingoniina): Manao teny an'orona na avy any an-tenda toa mimonomonona. ~ h. i.: Manao feo malefaka."
Mingonongonona," (ngonongonona) mt. s. (mingonongond na): Milaza na manonona teny tsy mazava tsara fa ao am-bava fotsiny."
Mingorodona," (ngorodona) mt. s. (mingoroddna): Mirohondrohona noho ny famindra."
Mingoso," (ngoso) mt. s. (mingosoa): Mianiana amin'ny olom-pady."
Minia," (nia) mt. s. (miniva): Manao an-tsitrapo: Ninia nanosika ahy fotsiny izao izy raha nandalo teo akaikiko."
Mininginingina," (inginingina) mt. s. (mininginingtna): Mitsangana amin'ny toerana iray ka ny loharantsana no mitondra ny tena."
Minisitera," (fr. ministère)  Sampan-draharaha ambony indrindra ao anatin'ny Governemanta: Ny minisiteran' ny fampianarana."
Minisitra," (fr. ministre) a: Mpiandraikitra ambony mitana minisitera anisan'ny Governemanta na ny Filan-kevipanjakana: Minisitry ny fitsarana."
Minitinitika," (nitinitika) mt. s.: Maimay hanao zavatra amim-pieboeboana."
Minitinity," (nitinity) mt. s.: Mandeha miseho ho be ebo sy be h ;mbo."
Minitra," (angl. minute)  Ampahenimpolon'ny ora iray: Eo amin'ny roapolo minitra eo ny indray mahamasa-bary."
Mino," (ino) mt. p. (minoa): Miaiky fa milaza ny marina: Mino anao aho fa tohizo ny teninao. ~ Miaiky fa misy: Nino an'Andriamanitra ny Ntaolo malagasy. ? Mihevitra, matoky: Nino izy fa tsy hamely intsony ny fahaualo."
Minona," (inona) mt. s.: Misotro tangena mba hahazoana mitsara na diso na tsia, raha toa ka nisy niampangana ny tena ho nahavita heloka, indrindra ho mpamosavy."
Minondaka," (nondaka)Malemy bodaka toy ny voankazo masa-doatra, na masaka nandrahoina izany na masaka ifotony."
Minono," (nono) mt. p. (minonoa): Mitsentsitra na mitroka ny nono mba hisintonana ny ronono."
Minty," (fit.-p.)  Mainty."
Miobonobona," (obonobona) mt, s.: Mitafy lamba abontsin'ny rivotra."
Miodina," (odina) mt. s. (miodfna): Mikomy, mioko; tsy manaiky ny fahefana."
Miody," (ody) mt. s.: Asiana fanafody: Aretina tsy dia manao ahoana loatra to: Jereo fa sitran-tsy miody akory io,"
Miofo," (ofo) mt. s. (miofosa): (ho an'ny vorona) Mihintsana ny volo teo aloha ka mi-solo vaovao indray: Miofo ny fodilahy amin'ny fiandohan'ny fahavaratra; (ho an' ny bibikely): Miova toetra indroa na intelo ambara-pahatongany ho bibikely ary fomba: Miofo tonga angidina ny ondrindrano. ~ Miova volo noho ny asan'ny rano manatsora ny lokon-damba: Aza afangaro amin'ny lamba hafa ity akanjo mena ity fa miofo. 1 Miova loko noho ny hainandro."
Miofy," (ofy) mt. p. (miofia): Manala hoditra voankazo; mivaofy, manala kirany: Ny olona fadiranovana no miofy voankazo amin'ny uaua. a F.-p.: Miofy akondro uaua:enti-milaza ny olona mahan- Mjo tra fadiranovana."
Miohaka," (ohaka) mt. s.: Miendaka, miala, mihintsana:Miohaka ny lalotra ka tokony houonjena haingana."
Miohatra," (ohatra) mt. s.: Mita-ha, miolotra: Mandeha haingana ny lamasinina, miohatra amin'ny fiarambahoaka."
Mioitra," (oitra) mt. s. (mioira): Enti-milaza ny angady tsindriana mafy ka mampiendaka baingan-tany be. ? h,o.: Miezaka mafy mba hipoitra fa tsy manaiky ny hotsindriana lava: Tsy naharitra ny mponina tany atsimo fa nioitra tamin'ny fitondrana tsy mba nisy fikarakarana azy."
Miokitra," (okitra) mt. s. (miokira): Miezaka mafy, mikely aina.   Milofo, lofo."
Mioko," (oko) mt. s. (miokoa): Mikomy; miray hevitra hiaramanao teti-dratsy."
mioky,"Avy amin'ny teny hoe ""miokitra"" ka milatsaka ny ""tra"", izay midika hoe miezaka mafy, mikely aina, milofo.
Hanambarana ihany koa faharetana amin'ny zavatra atao. "
Miolaka," (olaka) mt. s. na p.t. (miolaha): Tsy mahitsy fa mivily: Indroa miolaka ity labana ity uao tonga any aminay. ~ Mihodivitra, mihodina: Niolaka ny bala ka tsy nahauoa azy."
Miolana," (olana) mt. s. (miolàna): Mifadiditra."
Miolika," (olika) mt. s. (mioleha): Mivily, mihodina: Eto no miolika miankandrefana ny renirano,"
Miolomay," (olomay) mt. s.:Mitoetr'olona may, dotra, mihazakazaka mafy, dodona dia dodona, maika dia mai-ka. (Azo heverina koa anefa fa fototeny hafa no niavian' io teny io: milomay (1-omay), izay mihazakazaka, dodona koa no heviny)."
Miolonolona," (olonolona) mt. s. (miolonoldna): Tsy mba miray amin'ny olona fa mitokantokana; mihatakataka tsy te hihavana, mihafahafa."
Miolotra," (olotra) mt. s.: Akaiky, mikasika, mifampikasika: Miolotra ny sahanay ny sahany. • Miohatra, mitaha: Ratsy ity satroka ity miolotra amin'itsy iray itsy. -  F.-p.: Miolo-nono: iray no-no, miray nono. / Mifanolotra: mifanakaiky. /Mifanolobodirindrina."
Miomana," (omana) mt. s. (miomàna): Manao ny fitandremana rehetra ilaina mba hahombiazana amin'izay atao na tsy ho voatampoka raha misy zava-mitranga: Nahomby tamin'ny fanadinana izy satria niomana tsara. • Manao izay rehetra hahavonona ny tena amin'ny fanaovan-javatra na asa iray: Nandritra ny hateloana, niomana tamin'ny diany foana izy."
Miomba," (omba) mt, p.: Manaraka: Niomba an'iryr lalana iry) ilay olona nandositra. • Mandeha miaraka amin'ny: Miomba an-dreniny mandrakariva Ibalita, na miantsena na mamangy havana na miuauaka. 1 Miandany: Izay miomba ny fahavaloko tsy mety ho namako."
Miombona," (ombona) mt, s. (miombôna): Mandray anjara amy..., miaraka amy: Miombona alahelo aminao izahay."
Miombotra," (ombotra) mt. s. (miombota): Miongotra."
Miomby," (omby) mt. s.: Entimilaza ny bibindandy miova ho soherina: hodidininy ny tenany ny kofehy notehiriziny tao an-kibony izay manjary akoran-dandy, dia mibonoka matory ao izy."
Miompa," (ompa) mt. s. (miompà): Manozona olona hifotitra amin'ny havany akaiky: Niompa azy tamin-dreniny izy na Niompa reniny azy izy."
Miompana," (ompana) mt. s. (miompàna): Miraikitra, mipetaka: Niompana tamin'ny hazo izy no notifirina. 1 Miankina, mifototra: Miompana amin'ny hevitra hoe ""nateraka ho tsara ny olombelona"" ny fampianaran'i Rous-seau,"
Miompy," (ompy) mt. P. (miompia): Mamelona sy miahy ary mikarakara biby: Be miompy soavaly hatreo Ambatolampy ka hatrany Antsirab e."
Miondana," (ondana) mt. s. (miondàna): Manana ondana: Matory tsy miondana. ? Mampiasa ho ondana: Miondam-bato. ~ F.-p.: Miondam-bary, ronono, tantely...: mivatsy na mitao vary, ronono, tantely.,. ) Tsy miondan-tanana: tsy mihafy."
Miondevo," (ondevo) mt. s.: Enti-milaza tompo sy andevo miaraka: Lasa niantsena izy miondeuo,"
Miondrana," (ondrana) mt, s. (miondràna): Miditra amin' ny lakana na ny sambo mba handeha hiampita: Tamin'ny fito maraina izahay no niondrana ho any Maurice."
Miondrika," (ondrika) mt. s. (miondreha): Milefitra ny loha, mirona, miraika mialoha: Miondrika rehefa miarahaba olona ambony. 1 Manarampo (amin'ny alahelo): Aza dia miondrika amin'ny alahelo."
Miongaka," (ongaka) mt. s. (miongaha): Miala, miesotra, la-sa: Niongaka izy rehetra. • Miendaka: Nipoaka ny vato ka betsaka no niongaka,"
Miongana," (ongana) mt. s. (miongàna): Mianjera ambony ambany, mihohoka: Niongana ny latabatra. • Lavo, po-traita: Niongana tao amin' ilay kisolosolo auaratra tao izy. ? Mietry, miletsy: Efa niongana ela ilay mpitandrina teto fantatrao."
Miongotra," (ongotra) mt. s. (miongôra): Miala hatramin'ny fakany: Niongotra ho azy ilay bararata naniry tao atsinanan-trano."
Mionitra," (onitra) mt. s.: Miefa: Nionitra ihany lahy ny fatiantony! • Misolo: Matokisa fa hionitra ny andronao very. ? Miverina: Raha mba olona misaina koa ilay nangalatra, hionitra ny famantaranandronao volamena iny."
Mionjika," (onjika) mt. s.: Mirintona amin-katezerana,"
Mionjinonjina,"	(onjinonjina) mt s. (mionjinonjena): Midoladola sady mamindra somary miaingitra kely."
